Level;Processor;Year;Energy;GHG;LO;WD;SR;EM;HA;EMR MJh;GHGMR kgh;LO m2h;WD m3h
n-2;Renewable;2030;12.01454135;196.9860637;92.66580706;17.08161205;216.3036505;35.64559259;58.45877185;205.5216175;3.369657922;1.58514803;0.292199297
n-2;Non-renewable;2030;29.62986946;2139.441197;38.47283588;6.505352086;102.9783222;7.156631286;11.73687531;2524.510884;182.2837118;3.277945353;0.554266098
n-1;Electricity;2030;18.61145628;1098.94703;126.1478814;22.49858345;251.8239823;40.89876221;67.07397002;277.476587;16.38410593;1.88072782;0.335429429
n-1;Heat;2030;12.95972089;423.137353;2.801025868;0.795657693;33.91096384;1.81683186;2.97960425;4349.477247;142.0112597;0.940066409;0.267034689
n-1;Fuel;2030;10.07323364;814.3428773;2.189735664;0.292722999;33.54702666;0.086629809;0.142072887;70901.87194;5731.866892;15.41276249;2.060372005
n-3;Wind;2030;3.019791992;11.98856111;1.52800612;0.119998188;35.01017972;1.009676654;1.655869713;1823.689369;7.240038885;0.92278161;0.072468375
n-3;Hydro;2030;2.05293207;38.40999661;16.56111551;12.25858316;4.685093796;2.221218288;3.642797992;563.5591308;10.54409185;4.546262391;3.365155901
n-3;Solar;2030;6.936146392;146.4167476;73.21456872;4.701100519;176.5629196;32.41079375;53.15370175;130.4922548;2.754591736;1.377412415;0.088443521
n-3;Bioenergy;2030;0.005670899;0.170758379;1.362116716;0.00193019;0.045457447;0.003903895;0.006402388;885.7474742;26.67104509;212.751354;0.301479698
n-3;Waste;2030;0.185027906;82.35956212;14.72516881;1.016217072;1.576453757;0.208310465;0.341629163;541.6045409;241.0788394;43.10278631;2.974620384
n-3;Coal;2030;2.868483056;802.6889682;18.60801221;1.430854487;26.99480047;0.518933298;0.851050609;3370.51995;943.1741893;21.864754;1.68128014
n-3;Natural Gas;2030;17.01299351;732.981496;2.998629273;0.890054576;47.26895235;1.774247683;2.9097662;5846.85928;251.9039145;1.030539592;0.305885255
n-3;Nuclear;2030;3.48622882;6.12753716;0.620976122;2.951066162;6.106040346;4.602876468;7.548717408;461.8306173;0.811732223;0.082262468;0.390936102
n-3;Diesel;2030;3.38074215;288.916653;0.88860959;0.122294227;11.83913985;0.029074382;0.047681986;70901.87372;6059.241178;18.63616985;2.56478887
n-3;Kerosene;2030;2.696394023;226.3669806;0.631439871;0.094865562;9.19293545;0.023188989;0.038029942;70901.87051;5952.335678;16.60375582;2.494496626
n-2;Renewable;2050;54.10061531;566.5520751;704.700832;22.75764944;734.7687042;73.58183559;120.6742104;448.319613;4.694889432;5.839697063;0.188587515
n-2;Non-renewable;2050;3.218958699;236.4783944;15.81276918;1.946146537;9.714181437;1.691096244;2.77339784;1160.655227;85.26666856;5.70158704;0.701719208
n-1;Electricity;2050;50.67587301;560.4322285;187.9432744;23.64916719;714.9522247;70.66109696;115.884199;437.2975216;4.836140158;1.621819679;0.204075857
n-1;Heat;2050;4.251130597;14.19408729;444.429261;0.218561993;6.240423838;4.591258772;7.529664386;564.5843399;1.885088971;59.0237809;0.029026791
n-1;Fuel;2050;2.392570406;228.4041537;88.14106581;0.836066799;23.29023706;0.020576105;0.033744812;70901.87392;6768.570935;2611.988646;24.77615815
n-3;Wind;2050;36.04290597;143.0875123;18.23903931;1.432165374;417.8754132;12.68844908;20.80905649;1732.077857;6.876213363;0.876495257;0.068824138
n-3;Hydro;2050;2.183563792;91.81421477;21.10603284;12.69095393;7.490270612;2.221218288;3.642797992;599.4194015;25.20431135;5.793907015;3.483847844
n-3;Solar;2050;11.23417531;237.1447248;118.5808044;7.61416958;285.9706766;54.15000156;88.80600256;126.5024321;2.670368195;1.335279159;0.085739357
n-3;Bioenergy;2050;4.639970244;94.50562327;546.7749555;1.020360555;23.43234369;4.522166666;7.416353332;625.6403971;12.74286958;73.72558062;0.137582517
n-3;Waste;2050;0.193200195;85.9347905;15.36434206;1.060333204;1.644906882;0.215349192;0.353172675;547.041741;243.3223083;43.50376784;3.00230816
n-3;Coal;2050;0;0;0;0;0;0;0;0;0;0;0
n-3;Natural Gas;2050;2.028337589;148.7904964;0.270763918;0.04150412;6.322317409;0.02988406;0.049009858;41386.31842;3035.929963;5.524682769;0.846852484
n-3;Nuclear;2050;0.997420916;1.753107452;0.177663201;0.844309214;1.746957147;1.445862993;2.371215309;420.6370093;0.739328666;0.074924955;0.356066027
n-3;Diesel;2050;0;0;0;0;0;0;0;0;0;0;0
n-3;Kerosene;2050;0;0;0;0;0;0;0;0;0;0;0
